Comandos PUSH C2-260:

#Adicionar ao software:

"Comandos do Dispositivo",
"ID","Número de Série","Conteúdo","Imediato","Horário de Envio","Tempo de Retorno","Valor Retornado","Observação",
"613","20161116999","DATA UPDATE DoorProperty ID=3	DevID=4	Address=3	Disable=0
...","Não","2026-08-13 15:43:35","2026-08-13 15:43:37","0","",
"612","20161116999","DATA UPDATE extboardproperty ExtBoardID=1	DevID=4	DevType=101	BusType=1	Address=1	Disable=0
...","Não","2026-08-13 15:43:35","2026-08-13 15:43:37","0","",

#Troca para o DIP 2

"Comandos do Dispositivo",
"ID","Número de Série","Conteúdo","Imediato","Horário de Envio","Tempo de Retorno","Valor Retornado","Observação",
"625","20161116999","DATA UPDATE extboardproperty ExtBoardID=1	DevID=4	DevType=101	BusType=1	Address=2	Disable=0
...","Não","2026-08-13 15:47:57","2026-08-13 15:47:58","0","",

#Troca para o DIP 3

"Comandos do Dispositivo",
"ID","Número de Série","Conteúdo","Imediato","Horário de Envio","Tempo de Retorno","Valor Retornado","Observação",
"626","20161116999","DATA UPDATE extboardproperty ExtBoardID=1	DevID=4	DevType=101	BusType=1	Address=4	Disable=0
...","Não","2026-08-13 15:48:48","2026-08-13 15:48:50","0","",

#Troca para o DIP 4

"Comandos do Dispositivo",
"ID","Número de Série","Conteúdo","Imediato","Horário de Envio","Tempo de Retorno","Valor Retornado","Observação",
"627","20161116999","DATA UPDATE extboardproperty ExtBoardID=1	DevID=4	DevType=101	BusType=1	Address=8	Disable=0
...","Não","2026-08-13 15:49:25","2026-08-13 15:49:26","0","",

#Ativar a criptografia

"Comandos do Dispositivo",
"ID","Número de Série","Conteúdo","Imediato","Horário de Envio","Tempo de Retorno","Valor Retornado","Observação",
"629","20161116999","DATA UPDATE DevParameters ID=4	Name=IsSupportReaderEncrypt	Value=1
...","Não","2026-08-13 15:50:03","2026-08-13 15:50:04","0","",
"628","20161116999","DATA UPDATE ReaderProperty ID=1	DoorID=1	Type=1	Address=1	IPAddress=	Port=4376	MAC=	InOut=0	Disable=0	VerifyType=0	Multicast=	DevID=4
...","Não","2026-08-13 15:50:03","2026-08-13 15:50:04","0","",
